Date,GJupiter,GLuna,GMars,GMercury,GNeptune,GSaturn,GUranus,GVenus
05/10/1980,150.7997909,347.7324688,152.0182697,45.70502717,262.4078588,170.6022578,234.0081719,88.99772967
05/11/1980,150.8423195,2.271022392,152.3371976,47.84756462,262.3860751,170.5817625,233.9663066,89.46999697
05/12/1980,150.8877602,17.02591753,152.6626376,50.00607782,262.3639759,170.5629395,233.9243856,89.91603882
05/13/1980,150.936088,31.89425364,152.9944851,52.17724448,262.3415791,170.5458162,233.8824139,90.33488489
05/14/1980,150.987298,46.7415589,153.3326078,54.35731579,262.3188755,170.5303925,233.8404191,90.72554607
05/15/1980,151.0413471,61.42176655,153.676895,56.54218349,262.2958929,170.5166814,233.7984287,91.0869965
05/16/1980,151.0982359,75.80248422,154.0272321,58.72746243,262.2726313,170.5046882,233.7564426,91.4181909
05/17/1980,151.157934,89.78680322,154.3834731,60.90852827,262.2490999,170.4944076,233.714496,91.71807285
05/18/1980,151.2204238,103.3250944,154.7454973,63.0806739,262.2253179,170.4858578,233.6725997,91.98557474
05/19/1980,151.2856714,116.4154279,155.1131801,65.23919672,262.2012852,170.479035,233.6307704,92.21964415
05/20/1980,151.3536501,129.0956053,155.4863927,67.37949106,262.1770198,170.473943,233.5890358,92.4192517
05/21/1980,151.4243479,141.4317247,155.8650099,69.49717427,262.1525311,170.470578,233.5474141,92.58339142
05/22/1980,151.4976943,153.5066668,156.2489006,71.58818774,262.1278102,170.4689346,233.5059079,92.71111552
05/23/1980,151.5736992,165.4103946,156.6379624,73.64881734,262.1028943,170.4690181,233.4645515,92.80152502
05/24/1980,151.6523269,177.2325136,157.0320727,75.67576309,262.0777735,170.4708155,233.4233499,92.85378768
05/25/1980,151.733549,189.056548,157.4311102,77.66615721,262.052467,170.4743438,233.3823216,92.86716432
05/26/1980,151.8173333,200.9556457,157.8349846,79.61753423,262.026984,170.4795768,233.3414965,92.8410351
05/27/1980,151.9036587,212.989265,158.243576,81.52784614,262.0013245,170.4865328,233.3008724,92.77489079
05/28/1980,151.9924915,225.2009631,158.6567987,83.39540082,261.9755065,170.4951975,233.2604699,92.66836919
05/29/1980,152.0837958,237.6175245,159.0745429,85.21882467,261.9495404,170.5055723,233.2203194,92.5212997
